--To get list of all installed packages run :

sudo aptitude -F '%p' search '~i!~M'	-< gives without description
i  pcapfix - repairs broken pcap and pcapng files
i  pcmciautils - PCMCIA utilities for Linux 2.6
i  pdfcrack - PDF files password cracker
i  perl-base - minimal Perl system
i  pinentry-curses - curses-based PIN or pass-phrase entry dialog for GnuPG
i  playerctl - utility to control media players via MPRIS
i  policykit-1 - framework for managing administrative policies and privileges
i  policykit-desktop-privileges - run common desktop actions without password
i  pop-default-settings - default settings for the Pop desktop
i  pop-desktop - Pop Desktop Metapackage
i  pop-gnome-initial-setup - Initial GNOME system setup helper
i  pop-session - GNOME session for Pop
i  pop-shop - Fast application store
i  pop-sound-theme - Pop sound theme
i  pop-wallpapers - Pop Wallpapers
i  poppler-data - encoding data for the poppler PDF rendering library
i  popsicle - USB Flasher
i  popsicle-gtk - GTK front end to the USB Flasher
i  powertop - diagnose issues with power consumption and management
i  ppa-purge - disables a PPA and reverts to official packages
i  printer-driver-all - printer drivers metapackage
i  procps - /proc file system utilities
i  pulseaudio - PulseAudio sound server
i  python-apt-common - Python interface to libapt-pkg (locales)
